,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
0,"HTML, CSS, and Javascript for Web Developers",ce_101040,https://www.coursera.org/learn/html-css-javascript-for-web-developers,Yaakov Chaikin,4.7,16000.0,40.0,0,1088947,HTML JavaScript Css Frameworks Cascading Style Sheets (CSS) Introduction to HTML5 Introduction to CSS3 Coding the Static Restaurant Site Introduction to Javascript Using Javascript to Build Web Applications
1,"Introduction to Web Development with HTML, CSS, JavaScript",ce_101041,https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript,Upkar Lidder,4.6,1900.0,12.0,1,133525,"Describe the Web Application Development Ecosystem and terminology like front-end developer, back-end, server-side, and full stack. Identify the developer tools and integrated development environments (IDEs) used by web developers.Â  Create and structure basic web pages using HTML and style them with CSS.Â  Develop dynamic web pages with interactive features using JavaScript.Â  Git (Software) HTML Web Development JavaScript Cascading Style Sheets (CSS) Introduction to Application Development HTML Overview CSS Overview & HTML5 Elements   JavaScript Programming for Web Applications Career Opportunities and Final Project"
2,Introduction to Web Development,ce_101042,https://www.coursera.org/learn/web-development,William Mead,4.7,3600.0,10.0,1,235762,"Css Code HTML Web Development Cascading Style Sheets (CSS) Introduction to HTML Links, Images, & Files Putting Your Site Online Introduction to CSS"
3,Introduction to Front-End Development,ce_101043,https://www.coursera.org/learn/introduction-to-front-end-development,Taught by Meta Staff,4.8,10000.0,18.0,1,302618,"Distinguish between front-end, back-end, and full-stack developers. Create and style a webpage with HTML and CSS. The benefits of working with UI frameworks. Web Development Tools HTML and CSS Responsive Web Design Front-End Web Development User Interface Get started with web development Introduction to HTML and CSS UI Frameworks End-of-Course Graded Assessment"
4,"Python for Data Science, AI & Development",ce_101044,https://www.coursera.org/learn/python-for-applied-data-science-ai,Joseph Santarcangelo,4.6,35000.0,26.0,1,776135,"Learn Python - the most popular programming language and for Data Science and Software Development. Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes. Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks. Access and web scrape data using APIs and Python libraries like Beautiful Soup.  Data Science Data Analysis Python Programming Numpy Pandas Python Basics  Python Data Structures  Python Programming Fundamentals  Working with Data in Python  APIs, and Data Collection"
5,Programming with JavaScript,ce_101045,https://www.coursera.org/learn/programming-with-javascript,Taught by Meta Staff,4.7,3700.0,42.0,1,157571,Creating simple JavaScript codes. Creating and manipulating objects and arrays. Writing unit tests using Jest  Test-Driven Development JavaScript Front-End Web Development Object-Oriented Programming (OOP) Introduction to Javascript The Building Blocks of a Program Programming Paradigms Testing End-of-Course Graded Assessment
6,Getting Started with Front-End and Web Development,ce_101046,https://www.coursera.org/learn/getting-started-with-front-end-and-web-development,IBM Skills Network Team,4.5,88.0,14.0,1,7416,"Define front-end development, list roles and skills, outline web development steps, and explore UI/UX design, collaboration, and industry trends. Explore web browsers, load balancing, and define web frameworks, platforms, hosting, languages, accessibility, and cloud benefits. Compare front-end and back-end roles, version control, and CI/CD, discuss No-Code advantages and tools, and define CMS and SEO patterns. Create websites using WordPress and plugins for website enhancement, outline qualifications, portfolio elements, and specialization paths. Web Development Wordpress Front-End Web Development UI/UX Designer No-code Introduction to Web and Front-End Development Web Infrastructure Basics and Terminology  Introduction to Application DevelopmentÂ  Get Started with No-Code Web Development  Front-End Developer Skills and Career Paths  Final Project  and Course Wrap-up"
7,Developing Front-End Apps with React,ce_101047,https://www.coursera.org/learn/developing-frontend-apps-with-react,IBM Skills Network Team,4.3,363.0,13.0,2,43554,"Develop interactive user interfaces (UIs) and web applications using React, JSX, and ES6. Build dynamic websites and front-end applications quickly and easily with reusable React components.         Communicate and exchange data with external services using GET, POST, UPDATE, and DELETE requests. Employ and work with various React concepts and features including props, states, hooks, forms, and Redux. React (Web Framework) Front-end Development Web Development JavaScript User Interface Building Rich Front-End Applications with React and ES6  React Components Advanced React Final Project"
8,HTML and CSS in depth,ce_101048,https://www.coursera.org/learn/html-and-css-in-depth,Taught by Meta Staff,4.7,1400.0,28.0,1,92136,Create a simple form with a responsive layout using HTML5 and CSS Create a responsive layout using CSS  Create a UI using Bootstrap Implement debugging tools HTML and CSS React (Web Framework) Debugging JavaScript User Interface HTML in depth Interactive CSS Graded Assessment
9,Building Web Applications in PHP,ce_101049,https://www.coursera.org/learn/web-applications-php,Charles Russell Severance,4.7,4200.0,30.0,2,156484,"Explore the basic structure of a web application, and how a web browser interacts with a web server. Learn basic syntax and data structures of PHP, variables, logic, iteration, arrays, error handling, and superglobal variables, among other elements. Gain the skills and knowledge to install and use an integrated PHP/MySQL environment like XAMPP or MAMP. Hypertext Preprocessor (PHP) HTML Cascading Style Sheets (CSS) Introduction to Dynamic Web Content HyperText Markup Language (HTML) Cascading Style Sheets (CSS) Installing PHP and SQL Introduction to PHP PHP Arrays PHP Functions PHP and HTML Forms"
10,Developing Back-End Apps with Node.js and Express,ce_101050,https://www.coursera.org/learn/developing-backend-apps-with-nodejs-and-express,Upkar Lidder,4.4,303.0,12.0,2,39147,"Create server-side applications using the Node.js JavaScript run time.Â    Extend your Node.js applications with third-party packages and frameworks, including Express.Â    Use npm to manage Node.js packages in your Node.js application.Â    Develop asynchronousâ¯callback functions and promises to complete asynchronous operations.Â  Â    Server-side JavaScript back-end development Computer Science Web Development express Introduction to Server-Side JavaScript Asynchronous I/O with callback programming Express Web Application Framework Final Project"
11,Launch Your Online Business,ce_101051,https://www.coursera.org/learn/launch-online-business,Joan Decollibus,4.8,531.0,16.0,1,86617,Letâs Start with the Basics of an Online Business A Deeper Dive into Creating an Online Business  Preparing Your Online Business Launch Successful Launch of Your Online Business. Now what? 
12,Introduction to HTML5,ce_101052,https://www.coursera.org/learn/html,"Colleen van Lent, Ph.D.",4.7,27000.0,11.0,1,551148, Recognize and use common HTML5 tags.  Be aware of what an editor is and how to use one.  Compose HTML5 code that can create images and links. Web Design Web Accessibility HTML Html5 Week One: Learning About the Web Week Two: Structure of a Web Page Week Three: Hosting and Accessibility
13,Learn React,ce_101053,https://www.coursera.org/learn/learn-react,Bob Ziroll,4.7,152.0,15.0,2,13574,React (Web Framework) Build a React info site Build an AirBnb Experiences clone Build a meme generator Build a notes app and Tenzies game
14,Single Page Web Applications with AngularJS,ce_101054,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,Yaakov Chaikin,4.9,1900.0,46.0,2,120524,"Unit Testing Web Development JavaScript Angularjs Introduction to AngularJS Module 2 - Filters, Digest Cycle, Controller Inheritance, and Custom Services Week 3 - Promises, Ajax, and Custom Directives Module 4 - Components, Events, Modules, and Routing Module 5 - Form Validation, Testing, and Restaurant Site Development"
15,Introduction to Back-End Development,ce_101055,https://www.coursera.org/learn/introduction-to-back-end-development,Taught by Meta Staff,4.8,2900.0,18.0,1,123733,"Distinguish between front-end, back-end, and full-stack developers. Create and style a webpage with HTML and CSS. The benefits of working with UI frameworks. Get started with web development Introduction to HTML and CSS UI Frameworks End-of-Course Graded Assessment"
16,"Programming Foundations with JavaScript, HTML and CSS",ce_101056,https://www.coursera.org/learn/duke-programming-web,Susan H. Rodger,4.6,15000.0,33.0,1,564991,HTML Html5 JavaScript Cascading Style Sheets (CSS) Welcome Designing a Web Page with HTML and CSS Algorithms and Programming Concepts JavaScript for Web Pages MiniProject: Image Filters on the Web
17,Front-End Development Capstone Project,ce_101057,https://www.coursera.org/learn/front-end-development-capstone-project,IBM Skills Network Team,4.5,11.0,19.0,3,2888,"Apply your UI/UX design and Figma skills to demonstrate your proficiency in designing the layouts for various components of a responsive website Develop static website pages and integrate them into the Landing page while demonstrating your expertise in HTML and CSS.  Demonstrate your React proficiency to create dynamic react components and convert static pages into a responsive website  Apply your GitHub concepts and skills along with the software development process to build, deploy, and update a fully functional website Software Development React (Web Framework) Front-end Development Front-end design Web Development Getting Started with the Capstone Developing Static Website Pages using HTML & CSS Developing Dynamic React Components - Part I Developing Dynamic React Components â Part II Building, Deploying, and Updating the Website Final Project Submission and Peer Review"
18,Learn JavaScript,ce_101058,https://www.coursera.org/learn/learn-javascript,Per Harald Borgen,4.8,55.0,10.0,1,6913,"The basics of the JavaScript programming language, like variables, data types, functions, loops, conditionals, and more. How to use JavaScript to build real-world web apps How to use professional software development tools for coding, collaboration, and deployment  Computer Programming javascript syntax Web Development JavaScript Front-End Web Development Build Your First Web App Build a Game Build a Browser Extension Build a Mobile App"
19,JavaScript for Web Development,ce_101059,https://www.coursera.org/learn/javascript-for-web-development,Board Infinity,,,13.0,2,1866,"Gain deep knowledge of JavaScript fundamentals: variables, data types, operators, and functions for effective web application development.  Acquire the ability to dynamically modify web pages using DOM manipulation and craft responsive user interfaces through event handling techniques.  Achieve expertise in advanced JavaScript practices and harness the power of jQuery to enhance web page interactivity and simplify tasks.  Culminate learning with a hands-on project, demonstrating real-world application of JavaScript and jQuery skills to create dynamic web experiences.   Jquery Document Object Model (DOM) User Interface Design (UI Design) JavaScript API Integration Introduction to JavaScript Programming DOM Manipulation and Event Handling Advanced JavaScript Techniques and Jquery"
20,React Basics,ce_101060,https://www.coursera.org/learn/react-basics,Taught by Meta Staff,4.7,1700.0,26.0,1,114232,"Use reusable components to render views where data changes over time Organize React projects to create more scalable and maintainable websites and apps Use props to pass data between components. Create dynamic and interactive web pages and apps Use forms to allow users to interact with the app. Build an application in React React (Web Framework) Application development Web Application Front-End Web Development React Components Data and State Navigation, Updating and Assets in React.js Your first React app"
21,Creative Thinking: Techniques and Tools for Success,ce_101061,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,Peter Childs,4.7,4100.0,19.0,1,342290,Understand what creative thinking techniques are Comprehend their importance in tackling global challenges as well as in everyday problem-solving scenarios Select and apply the appropriate technique based on the opportunity to seize or the problem to tackle Creative Thinking Problem Solving Creativity Brainstorming Introduction to the Principles of Creativity Creativity Tools Thinking Styles Morphological Analysis TRIZ - the Theory of Inventive Problem Solving SCAMPER Using the Tools in Combination
22,Learn HTML and CSS,ce_101062,https://www.coursera.org/learn/learn-html-and-css,Per Harald Borgen,4.6,33.0,6.0,1,6445,"How to code websites from scratch with HTML and CSS How to build beautiful layouts using color palettes, fonts, images, and other styling techniques How to use professional tools for code editing, collaboration, and deployment HTML and CSS Web Development User Interface Design (UI Design) Front-End Web Development Cascading Style Sheets (CSS) Build and deploy your first website Build a Google.com Clone Build a Digital Business Card Build a Space Exploration Site Build a Birthday GIFt Site"
23,The Full Stack,ce_101063,https://www.coursera.org/learn/the-full-stack,Taught by Meta Staff,4.6,146.0,24.0,2,34670,Build a Django app  Use the full stack Configure an environment Django (Web Framework) HTML Production environments JavaScript Cascading Style Sheets (CSS) Introduction to the full stack Front-end technologies The full stack using Django Production environments Final project
24,Build a Webpage with HTML and CSS,ce_101064,https://www.coursera.org/learn/build-a-webpage-with-html-and-css,Board Infinity,4.2,10.0,22.0,1,2005,"Grasp fundamentals of HTML, mastering the structure and usage of tags, attributes, and elements to define web content and layout.  Understand and apply CSS basics, learning to control layout, typography, and color schemes while comprehending the concept of cascading.  Delve into Bootstrap's framework, leveraging its pre-built components to create professional, mobile-friendly web designs.  Acquire foundational web design principles, emphasizing responsive design and ensuring web pages are visually appealing across devices. Bootstrap (Front-End Framework) Web Design Web Page HTML5 Cascading Style Sheets (CSS) Introduction to HTML Introduction to CSS Introduction to Bootstrap"
25,Using Python to Access Web Data,ce_101065,https://www.coursera.org/learn/python-network-data,Charles Russell Severance,4.8,44000.0,18.0,1,651766,Use regular expressions to extract data from strings Understand the protocols web browsers use to retrieve documents and web apps Retrieve data from websites and APIs using Python Work with XML (eXtensible Markup Language) data Json Xml Python Programming Web Scraping Getting Started Regular Expressions (Chapter 11) Networks and Sockets (Chapter 12) Programs that Surf the Web (Chapter 12) Web Services and XML (Chapter 13) JSON and the REST Architecture (Chapter 13)
26,Introduction to VueJS Framework,ce_101066,https://www.coursera.org/learn/codio-introduction-to-vuejs-framework,Anh Le,4.4,18.0,7.0,1,1992,Create a Vue component Pass information via props Have multiple components work in concert HTML and CSS Web Application JavaScript HTML and CSS Vue Overview Putting the Vue Together
