course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ps_1,Web Development: Executive Briefing,https://www.pluralsight.com/courses/web-development-executive-briefing,Brice Wilson,4.6,0.5005555555555555,,1,158,
ps_2,Front End Web Development: Get Started,https://www.pluralsight.com/courses/front-end-web-development-get-started,Joe Eames,4.6,3.7991666666666664,,1,1250,
ps_3,Beyond ASP.NET MVC: Modern Web Development Demystified,https://www.pluralsight.com/courses/beyond-aspdotnet-web-development-demystified,Chris Jones,4.6,1.8425000000000002,,1,75,
ps_4,Tactics and Tools for Troubleshooting Front-end Web Development,https://www.pluralsight.com/courses/tactics-tools-troubleshooting-front-end-web-development,Shelley Benhoff,3.7,1.6258333333333335,,2,54,
ps_5,Developing Web Applications and Web APIs Protected by Azure Active Directory,https://www.pluralsight.com/courses/developing-web-applications-apis-protected-azure-active-directory,Sahil Malik,4.1,2.4472222222222224,,2,59,
ps_6,Tracking Real World Web Performance,https://www.pluralsight.com/courses/web-performance-tracking,Nik Molnar,4.6,1.6258333333333335,,1,145,
ps_7,Hands On Responsive Web Design,https://www.pluralsight.com/courses/hands-on-responsive-web-design,Paul Cheney,4.6,4.370277777777777,,1,357,
ps_8,Progressive Web Apps: The Big Picture,https://www.pluralsight.com/courses/progressive-web-apps-big-picture,Maximiliano Firtman,4.4,1.6772222222222222,,1,95,
ps_9,Responsive Web Images,https://www.pluralsight.com/courses/responsive-web-images,Robert Boedigheimer,4.7,1.9174999999999998,,1,35,
ps_10,Web Development with ExpressJS,https://www.pluralsight.com/courses/expressjs,Hadi Hariri,4.5,2.2480555555555557,,2,664,
ps_11,Testing Web Applications with CodedUI,https://www.pluralsight.com/courses/codedui-testing-web-applications,Marcel de Vries,4.4,3.793611111111111,,2,152,
ps_12,Developing Websites for Accessibility: Getting Started,https://www.pluralsight.com/courses/developing-websites-accessibility-getting-started,Brian Treese,4.8,2.411111111111111,,1,85,
ps_13,Java Application Development with Tomcat 9,https://www.pluralsight.com/courses/java-application-development-tomcat,Richard Monson-Haefel,4.4,2.027222222222222,,2,56,
ps_14,Advanced Web Application Penetration Testing with Burp Suite,https://www.pluralsight.com/courses/advanced-web-application-penetration-testing-burp-suite,Dr. Sunny Wear,4.2,1.8177777777777777,,3,54,
ps_15,Microsoft Azure Developer: Developing for Autoscaling,https://www.pluralsight.com/courses/microsoft-azure-autoscaling-developing,Nikola Milanovic,4.5,1.7341666666666666,,3,57,
ps_16,Full Stack Web Development with Python (WEB2PY),https://www.pluralsight.com/courses/full-stack-web-development-python-web2py,Terry Toy,4.5,3.0430555555555556,,1,172,
ps_17,Building Go Web Services and Applications,https://www.pluralsight.com/courses/go-building-web-services-applications0,Josh Duffney,3.7,3.209166666666667,,2,15,
ps_18,Web Development with HTML & CSS: The Big Picture,https://www.pluralsight.com/courses/html-css-web-development-big-picture,Barry Luijbregts,,1.4244444444444446,,1,,
ps_19,Seminar: Getting Started with a Career in Web Development,https://www.pluralsight.com/courses/seminar-getting-started-web-development,Dan Wahlin,,7.448333333333333,,1,,
ps_20,PHP 8 Web Application Security,https://www.pluralsight.com/courses/php-web-application-security,Christian Wenz,4.7,5.331666666666666,,2,50,
ps_21,Rebuilding Web Forms Applications in MVC,https://www.pluralsight.com/courses/rebuilding-web-forms-applications-mvc,Alex Wolf,4.6,3.8291666666666666,,2,225,
ps_22,Python Desktop Application Development,https://www.pluralsight.com/courses/python-desktop-application-development,Bo Milanovich,4.5,1.7166666666666668,,1,522,
ps_23,Kubernetes for Developers: Deploying Your Code,https://www.pluralsight.com/courses/kubernetes-developers-deploying-code,Dan Wahlin,4.8,3.0766666666666667,,2,153,
ps_24,Developing Applications on Ethereum Blockchain,https://www.pluralsight.com/courses/blockchain-ethereum-developing-applications,Ivan Mushketyk,5.0,5.809166666666666,,2,35,
ps_25,RESTful Web Services with Node.js and Express,https://www.pluralsight.com/courses/node-js-express-rest-web-services-update,Jonathan Mills,4.5,2.0455555555555556,,2,251,
ps_26,ASP.NET Core Web API Fundamentals,https://www.pluralsight.com/courses/asp-dot-net-core-6-web-api-fundamentals,Kevin Dockx,4.9,8.57,,1,825,
ps_27,Practical CouchDB for Developers,https://www.pluralsight.com/courses/practical-couchdb-developers,Abhishek Kant,4.1,5.578055555555555,,2,59,
ps_28,Developing Extensible Software,https://www.pluralsight.com/courses/developing-extensible-software,Miguel Castro,4.7,3.7741666666666664,,2,523,
ps_29,Setting up a Java Development Environment,https://www.pluralsight.com/courses/setting-up-java-development-environment,Sander Mak,4.7,0.8494444444444444,,1,285,
ps_30,Developing Models in Microsoft Azure,https://www.pluralsight.com/courses/microsoft-azure-developing-models,Saravanan Dhandapani,4.4,1.9319444444444442,,2,15,
ps_31,MSIL for the C# 8 Developer,https://www.pluralsight.com/courses/msil-csharp-developer,Filip Ekberg,4.5,2.5869444444444447,,2,245,
ps_32,Cryptography Principles for IT Professionals and Developers,https://www.pluralsight.com/courses/cryptography-principles-it-professionals-developers,Michael Perry,4.7,3.3944444444444444,,2,55,
ps_33,Custom VBA Class Development,https://www.pluralsight.com/courses/custom-vba-class-development,Ken Getz,4.6,3.54,,2,53,
ps_34,Securing a JavaScript REST API with JSON Web Tokens,https://www.pluralsight.com/courses/securing-javascript-rest-api-json-web-tokens,Deeksha Sharma,3.3,1.4402777777777778,,2,58,
ps_35,Exam Alert: Develop for Azure Storage,https://www.pluralsight.com/courses/exam-alert-develop-azure-storage,David Tucker,4.9,0.3888888888888889,,2,54,
ps_36,ASP.NET Core Web API Deep Dive,https://www.pluralsight.com/courses/asp-dot-net-core-6-web-api-deep-dive,Kevin Dockx,4.9,9.105277777777777,,2,159,
ps_37,Webpack 1 Fundamentals,https://www.pluralsight.com/courses/webpack-fundamentals,Joe Eames,4.6,2.3930555555555557,,2,456,
ps_38,Implementing Web and Mobile Services on Microsoft Azure,https://www.pluralsight.com/courses/microsoft-azure-implementing-web-mobile-services-update,Mike Pfeiffer,4.7,3.934444444444445,,2,51,
ps_39,VoIP and Web Calls: Tips for Better Remote Communications,https://www.pluralsight.com/courses/voip-web-calls-better-remote-communication,Amber Israelsen,4.6,1.399722222222222,,1,65,
ps_40,User Experience Tips and Tricks for Developers,https://www.pluralsight.com/courses/ux-tips-tricks-developers,Amber Israelsen,4.8,2.915833333333333,,1,562,
ps_41,Developing a Team and Its Culture,https://www.pluralsight.com/courses/developing-team-culture,Tony Curtis,4.0,1.2991666666666666,,1,85,
ps_42,Getting Started With Elasticsearch for .NET Developers,https://www.pluralsight.com/courses/elasticsearch-for-dotnet-developers,JP Toto,4.5,1.9213888888888888,,1,651,
ps_43,AZ-204: Developing Solutions for Microsoft Azure,https://www.pluralsight.com/courses/az-204-developing-solutions-microsoft-azure,Amy Coughlin,2.7,4.220277777777778,,2,45,
ps_44,"Front-End Web Development Quick Start With HTML5, CSS, and JavaScript",https://www.pluralsight.com/courses/html5-javascript-css-front-end-web-app,Shawn Wildermuth,4.6,2.8561111111111113,,1,83,
ps_45,Docker for Web Developers,https://www.pluralsight.com/courses/docker-web-developers,Dan Wahlin,4.7,3.743611111111111,,1,23,
