course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_1565838,The Complete 2024 Web Development Bootcamp,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,4.7010736,62.0,,0,362657,1208632
ud_625204,The Web Developer Bootcamp 2024,https://www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,4.677242,74.0,,0,270209,902271
ud_851712,The Complete JavaScript Course 2024: From Zero to Expert!,https://www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,4.7135034,68.5,,0,201155,888778
ud_756150,Angular - The Complete Guide (2024 Edition),https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,4.617524,36.5,,0,198086,742648
ud_437398,Build Responsive Real-World Websites with HTML and CSS,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Jonas Schmedtmann,4.7572317,37.5,,0,104332,412961
ud_705264,Modern React with Redux [2024 Update],https://www.udemy.com/course/react-redux/,Stephen Grider,4.7298307,43.5,,0,85893,314340
ud_764164,The Complete Web Developer Course 3.0,https://www.udemy.com/course/the-complete-web-developer-course-2/,Rob Percival,4.6118894,31.0,,0,71955,313401
ud_995016,Vue - The Complete Guide (incl. Router & Composition API),https://www.udemy.com/course/vuejs-2-the-complete-guide/,Maximilian Schwarzmüller,4.7577853,32.0,,0,62231,235722
ud_1352468,Master Microservices with Spring Boot and Spring Cloud,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,4.570384,25.0,,0,50167,248246
ud_822444,Python and Django Full Stack Web Developer Bootcamp,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Jose Portilla,4.4565854,32.0,,0,49455,207962
ud_947098,Understanding TypeScript,https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,4.670706,15.0,,0,48818,233459
ud_364426,JavaScript: Understanding the Weird Parts,https://www.udemy.com/course/understand-javascript/,Anthony Alicea,4.789017,12.0,,0,47799,190285
ud_1026604,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",https://www.udemy.com/course/advanced-css-and-sass/,Jonas Schmedtmann,4.7405834,28.0,,2,43259,207021
ud_405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,Edwin Diaz,4.4201145,6.0,,0,35841,366139
ud_806922,The Complete ASP.NET MVC 5 Course,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,Mosh Hamedani,4.3921766,7.5,,0,33858,135598
ud_1463348,Modern JavaScript From The Beginning 2.0 (2024),https://www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,4.7985573,36.5,,0,33050,113177
ud_461160,Learn and Understand NodeJS,https://www.udemy.com/course/understand-nodejs/,Anthony Alicea,4.568505,13.0,,0,29322,128956
ud_2365628,"Complete React Developer (w/ Redux, Hooks, GraphQL)",https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,Andrei Neagoie,4.516493,42.5,,0,28033,135284
ud_1247828,The Complete Angular Course: Beginner to Advanced,https://www.udemy.com/course/the-complete-angular-master-class/,Mosh Hamedani,4.357867,29.5,,0,27310,114653
ud_1466612,Ethereum and Solidity: The Complete Developer's Guide,https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Stephen Grider,4.5638447,24.0,,0,26619,144652
ud_2153774,Modern HTML & CSS From The Beginning (Including Sass),https://www.udemy.com/course/modern-html-css-from-the-beginning/,Brad Traversy,4.6914835,21.0,,0,26357,84615
ud_505208,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,https://www.udemy.com/course/html-css-more/,Andrew Eddy,4.556902,5.5,,1,26321,88748
ud_3490000,Docker & Kubernetes: The Practical Guide [2024 Edition],https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,Academind by Maximilian Schwarzmüller,4.715289,23.5,,0,25110,170030
ud_1386294,Python for beginners,https://www.udemy.com/course/python-core-and-advanced/,Bharath Thippireddy,4.5202813,15.0,,0,24642,250797
ud_405282,PHP for Beginners - Become a PHP Master - CMS Project,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,Edwin Diaz,4.307745,37.0,,0,24499,124628
ud_833442,Angular & NodeJS - The MEAN Stack Guide [2024 Edition],https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,4.5046487,12.5,,0,24366,125473
ud_1010586,Become a WordPress Developer: Unlocking Power With Code,https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,Brad Schiff,4.726699,42.5,,0,23740,107883
